                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.3393,                  1.219,                   1.63,                0.84653,                0.82875,                0.88463,                0.53349,                 1.3582,                0.83646,                 1.6725,             0.00034166,             0.00034166,             0.00034166
                     85,                 1.3579,                  1.235,                  1.651,                0.85312,                0.81804,                0.88954,                0.54206,                 1.3543,                0.81994,                 1.6686,             0.00032168,             0.00032168,             0.00032168
                     86,                 1.3499,                 1.2289,                 1.6459,                0.84051,                0.83639,                0.89954,                0.54541,                 1.3373,                0.80796,                 1.6568,              0.0003017,              0.0003017,              0.0003017
                     87,                 1.3365,                 1.2242,                 1.6371,                0.84922,                0.81815,                0.89268,                0.53706,                 1.3571,                0.82326,                 1.6675,             0.00028172,             0.00028172,             0.00028172
                     88,                 1.3244,                 1.1972,                 1.6216,                 0.8605,                0.82722,                0.89961,                0.55167,                 1.3494,                0.79752,                 1.6564,             0.00026174,             0.00026174,             0.00026174
                     89,                 1.3233,                  1.208,                 1.6214,                0.86169,                0.82263,                 0.8982,                0.55579,                 1.3307,                0.79473,                 1.6499,             0.00024176,             0.00024176,             0.00024176
                     90,                 1.3165,                 1.1859,                 1.6155,                0.86346,                0.82192,                 0.9001,                0.54756,                 1.3489,                0.80703,                 1.6651,             0.00022178,             0.00022178,             0.00022178
                     91,                 1.3124,                  1.181,                 1.6202,                0.81836,                0.86802,                0.90168,                0.54443,                 1.3512,                0.79098,                 1.6733,              0.0002018,              0.0002018,              0.0002018
                     92,                 1.3162,                 1.1672,                 1.6183,                0.85277,                0.82362,                0.89533,                 0.5478,                 1.3299,                0.80461,                 1.6496,             0.00018182,             0.00018182,             0.00018182
                     93,                 1.3119,                  1.174,                 1.6131,                0.86272,                0.81804,                0.89658,                0.54922,                 1.3315,                0.79679,                 1.6469,             0.00016184,             0.00016184,             0.00016184
                     94,                   1.31,                 1.1573,                  1.609,                0.82417,                0.85288,                0.90089,                0.55868,                 1.3219,                0.76977,                 1.6432,             0.00014186,             0.00014186,             0.00014186
                     95,                 1.3017,                  1.155,                 1.6107,                0.86734,                0.83974,                0.90301,                0.55671,                 1.3261,                0.76818,                 1.6478,             0.00012188,             0.00012188,             0.00012188
                     96,                 1.2936,                  1.132,                 1.5968,                0.86455,                0.83333,                0.90322,                0.55896,                 1.3178,                0.76278,                 1.6421,              0.0001019,              0.0001019,              0.0001019
                     97,                 1.3021,                 1.1463,                 1.6097,                0.85518,                0.83969,                0.90223,                0.55491,                 1.3159,                0.76077,                 1.6405,              8.192e-05,              8.192e-05,              8.192e-05
                     98,                 1.2848,                 1.1238,                 1.5926,                0.85034,                0.84098,                0.90611,                0.55927,                 1.3192,                0.76606,                 1.6424,              6.194e-05,              6.194e-05,              6.194e-05
                     99,                 1.2943,                 1.1409,                 1.5952,                0.85685,                0.84202,                0.90582,                0.56081,                 1.3089,                0.75589,                 1.6367,              4.196e-05,              4.196e-05,              4.196e-05
